TABLE_NAME;COLUMN_NAME;DATA_TYPE;IS_NULLABLE;CHARACTER_MAXIMUM_LENGTH
Action;ID;int;NO;
Action;RuleID;int;NO;
Action;Name;nvarchar;NO;50
Action;ExecutionOrder;int;NO;
Action;Type;int;NO;
Action;Parameters;nvarchar;NO;-1
Action;Enabled;bit;NO;
AdditionalListingInfoFromChannel;Channel;int;NO;
AdditionalListingInfoFromChannel;ChannelIdentifier;nvarchar;NO;50
AdditionalListingInfoFromChannel;UPC;nvarchar;YES;50
AdditionalListingInfoFromChannel;EAN;nvarchar;YES;50
AdditionalListingInfoFromChannel;MPN;nvarchar;YES;50
AdditionalListingInfoFromChannel;ISBN;nvarchar;YES;50
AdditionalListingInfoFromChannel;GTIN;nvarchar;YES;50
AdditionalListingInfoFromChannel;BrandName;nvarchar;YES;-1
AdditionalListingInfoFromChannel;PhotoURL;nvarchar;YES;-1
AddProductFields;Field;nvarchar;NO;50
AddProductFields;Title;nvarchar;NO;50
AddProductFields;IsVisible;bit;NO;
AddProductFields;IsRequired;bit;NO;
AddProductFields;IsRequireDisabled;bit;NO;
AddProductFields;IsVisibleDisabled;bit;NO;
AddProductFields;SortOrder;int;NO;
AddProductFields;IsClientSettingControlled;bit;NO;
AddressBook;ID;int;NO;
AddressBook;CompanyID;int;YES;
AddressBook;AddressTitle;nvarchar;YES;150
AddressBook;Address;nvarchar;YES;-1
AddressBook;CreatedBy;int;YES;
AddressBook;CreatedOn;datetime;YES;
AddressBook;DefaultWarehouseID;int;YES;
AddressBook;IsDefaultForPOShipTo;bit;YES;
AddressBook;IsDefaultFBAShipFrom;bit;YES;
AggregatedCounter;Id;int;NO;
AggregatedCounter;Key;nvarchar;NO;100
AggregatedCounter;Value;bigint;NO;
AggregatedCounter;ExpireAt;datetime;YES;
Amazon_Categories;Title;nvarchar;YES;50
Amazon_Categories;Parent;nvarchar;YES;50
Amazon_Categories;NodeId;nvarchar;NO;50
Amazon_Categories;CountryCode;int;YES;
Amazon_Categories_TopLevel;Title;nvarchar;NO;50
Amazon_Categories_TopLevel;NodeID_US;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_UK;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_DE;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_JP;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_FR;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_CA;nvarchar;YES;50
Amazon_Categories_TopLevel;SearchSupport_US;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_UK;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_DE;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_JP;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_FR;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_CA;bit;YES;
Amazon_Categories_TopLevel;NodeID_IT;nvarchar;YES;50
Amazon_Categories_TopLevel;NodeID_ES;nvarchar;YES;50
Amazon_Categories_TopLevel;SearchSupport_IT;bit;YES;
Amazon_Categories_TopLevel;SearchSupport_ES;bit;YES;
Amazon_Categories_TopLevel;NodeID_CN;nvarchar;YES;50
Amazon_Categories_TopLevel;SearchSupport_CN;bit;YES;
Amazon_DetailedActiveListings_Report;RecordId;bigint;NO;
Amazon_DetailedActiveListings_Report;ReportId;varchar;YES;50
Amazon_DetailedActiveListings_Report;CompanyId;int;YES;
Amazon_DetailedActiveListings_Report;item-name;varchar;YES;-1
Amazon_DetailedActiveListings_Report;item-description;nvarchar;YES;-1
Amazon_DetailedActiveListings_Report;listing-id;varchar;YES;500
Amazon_DetailedActiveListings_Report;seller-sku;varchar;YES;500
Amazon_DetailedActiveListings_Report;price;varchar;YES;500
Amazon_DetailedActiveListings_Report;quantity;varchar;YES;500
Amazon_DetailedActiveListings_Report;open-date;varchar;YES;500
Amazon_DetailedActiveListings_Report;image-url;varchar;YES;500
Amazon_DetailedActiveListings_Report;item-is-marketplace;varchar;YES;500
Amazon_DetailedActiveListings_Report;product-id-type;varchar;YES;500
Amazon_DetailedActiveListings_Report;zshop-shipping-fee;varchar;YES;500
Amazon_DetailedActiveListings_Report;item-note;varchar;YES;500
Amazon_DetailedActiveListings_Report;item-condition;varchar;YES;500
